Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-10-08,9.669799536862639,9.779110083579923,9.520128558486697,9.62775707244873,7034558,0.0,0.0
2013-10-09,9.602531078805416,9.800971948645524,9.540307704791411,9.748839378356934,6177648,0.0,0.0
2013-10-10,9.792564106560183,9.800972878393848,9.599168620236735,9.725296020507812,4361382,0.0,0.0
2013-10-11,9.71856886062047,9.853105017260852,9.614303025931669,9.81106185913086,3133753,0.0,0.0
2013-10-14,9.811062917046012,9.992687653162145,9.725295951293367,9.922056198120117,3827876,0.0,0.0
2013-10-15,9.911966121005813,9.959053993225098,9.750522982262119,9.959053993225098,4793310,0.0,0.0
2013-10-16,9.922055242799413,10.021275676872458,9.849741761882889,9.937190055847168,3550053,0.0,0.0
2013-10-17,9.861516232228562,9.962419426148864,9.807702309400332,9.837972640991211,2197404,0.0,0.0
2013-10-18,9.846377236327154,9.991004191400542,9.846377236327154,9.942234992980957,2760429,0.0,0.0
2013-10-21,9.942234643400521,10.13394875755615,9.898510151896618,10.090224266052246,3408103,0.0,0.0
2013-10-22,10.088545582352092,10.219718395148206,10.028004230584216,10.123861312866211,3739754,0.0,0.0
2013-10-23,10.088547212512307,10.169268795844323,10.044822702446465,10.098636627197266,4037545,0.0,0.0
2013-10-24,10.098634003074723,10.182720327265526,9.92541943348404,10.073409080505371,2962284,0.0,0.0
2013-10-25,10.006141136784263,10.038093494855234,9.868240899883743,9.93550968170166,5047257,0.0,0.0
2013-10-28,9.95569011019996,10.007823382407015,9.854787631533357,9.915328979492188,4419551,0.0,0.0
2013-10-29,9.896832053114544,10.03136825376478,9.772386659288003,9.975872993469238,2219977,0.0,0.0
2013-10-30,9.996051344097353,10.122178747526966,9.957372245864045,10.054910659790039,3612997,0.0,0.0
2013-10-31,10.090225665983507,10.115451980310018,9.979233781698312,10.044819831848145,4941771,0.0,0.0
2013-11-01,10.080136059322362,10.202900090491267,10.034730222928692,10.076772689819336,3831783,0.0,0.0
2013-11-04,10.11040707545974,10.132268629114481,9.906920783919539,10.063319206237793,3246184,0.0,0.0
2013-11-05,10.07340804142726,10.115451199185884,9.913645573596725,9.98595905303955,3606052,0.0,0.0
2013-11-06,9.960735571466541,9.992687930405662,9.848060950634942,9.991005897521973,2928425,0.0,0.0
2013-11-07,9.802655431167732,9.964098567773977,9.63448485901435,9.753886222839355,7539848,0.0,0.0
2013-11-08,9.733703726809129,9.767338114256239,9.515082645122423,9.568897247314453,5774371,0.0,0.0
